"region","Hovedalternativet (MMMM) 2024","Hovedalternativet (MMMM) 2050"
"31 Østfold",312152,355556
"32 Akershus",728803,874159
"03 Oslo",717710,817225
"34 Innlandet",376304,395404
"33 Buskerud",269819,304611
"39 Vestfold",256432,286521
"40 Telemark",177093,185686
"42 Agder",319850,358010
"11 Rogaland",499417,543550
"46 Vestland",651299,691788
"15 Møre og Romsdal",270624,279339
"50 Trøndelag - Trööndelage",482956,529458
"18 Nordland - Nordlánnda",243081,241234
"55 Troms - Romsa - Tromssa",169610,175548
"56 Finnmark - Finnmárku - Finmarkku",75053,76810